date,quality_score,relative_momentum_score,value_score,lowvol_score,composite_score
2022-02-28,0.00973437,0.00923095,0.00869672,0.00943047,0.00935694
2022-03-31,-0.04274046,-0.04269998,-0.03990251,-0.04378753,-0.04245766
2022-04-29,-0.01270312,-0.01306784,-0.01389846,-0.01489416,-0.01333873
2022-05-31,0.00229480,0.00257819,0.00239145,0.00253255,0.00244415
2022-06-30,0.01600328,0.01725168,0.01670419,0.01756664,0.01677986
2022-07-29,-0.05657731,-0.05078647,-0.04646429,-0.04652962,-0.05152641
2022-08-31,0.01067371,0.00964332,0.00794766,0.00909735,0.00966771
2022-09-30,-0.03029477,-0.02754826,-0.02472083,-0.02460340,-0.02764370
2022-10-31,-0.03446089,-0.03024359,-0.03067959,-0.02697704,-0.03129506
2022-11-30,0.03948454,0.03352203,0.03530400,0.03301342,0.03579991
2022-12-30,-0.02220223,-0.02009397,-0.02233171,-0.02229353,-0.02149746
2023-01-31,0.03137988,0.02844875,0.03082585,0.03259462,0.03045309
2023-02-28,0.01377586,0.01167839,0.01084189,0.01228390,0.01237786
2023-03-31,-0.00919044,-0.00852169,-0.00913263,-0.00868044,-0.00887120
2023-04-28,0.00812315,0.00764695,0.00779036,0.00832976,0.00793755
2023-05-31,-0.01963423,-0.01826374,-0.01864354,-0.01910322,-0.01892630
2023-06-30,-0.01050360,-0.00970185,-0.00926126,-0.01038768,-0.01001925
2023-07-31,0.01164822,0.01095203,0.01002287,0.01184285,0.01118995
2023-08-31,-0.02242487,-0.02010675,-0.01877352,-0.02389733,-0.02128669
2023-09-28,0.00447976,0.00421823,0.00351474,0.00447807,0.00424322
2023-10-31,-0.02370829,-0.02248445,-0.01990308,-0.02557253,-0.02298880
2023-11-30,0.00681617,0.00682064,0.00581013,0.00712176,0.00671267
2023-12-29,0.00086497,0.00086694,0.00076466,0.00091102,0.00085752
2024-01-31,0.01016721,0.01068444,0.00853754,0.01115516,0.01025198
2024-02-29,0.04021474,0.04156787,0.03515401,0.04422918,0.04053139
2024-03-29,0.00483997,0.00475119,0.00423951,0.00500722,0.00474392
2024-04-30,0.02836155,0.02693653,0.02660382,0.02856192,0.02762919
2024-05-31,0.00428484,0.00407986,0.00339435,0.00395012,0.00402932
2024-06-28,-0.02530788,-0.02481488,-0.02110298,-0.02425511,-0.02434668
2024-07-31,-0.02620208,-0.02563266,-0.02319283,-0.02433424,-0.02527122
2024-08-30,-0.00934996,-0.00966772,-0.00850389,-0.01003501,-0.00943702
2024-09-30,0.08148502,0.08932111,0.07707164,0.09356928,0.08537828
2024-10-31,-0.04130445,-0.04010985,-0.03638217,-0.04764330,-0.04109883
2024-11-29,-0.00015348,-0.00013632,-0.00013151,-0.00016197,-0.00014545
2024-12-31,0.02026671,0.01743991,0.01805761,0.02162312,0.01914943
2025-01-27,-0.01791195,-0.01660547,-0.01617872,-0.01948679,-0.01743092
2025-02-28,-0.01869836,-0.01637238,-0.01684414,-0.01933315,-0.01770136
2025-03-31,0.02485268,0.02157664,0.02218103,0.02611048,0.02349399
2025-04-30,-0.02402296,-0.02254194,-0.02036359,-0.02233229,-0.02270210
2025-05-30,0.01365160,0.01339436,0.01146365,0.01348218,0.01320796
2025-06-30,-0.00105737,-0.00103605,-0.00089695,-0.00113220,-0.00103707
2025-07-31,-0.00250075,-0.00230934,-0.00216568,-0.00245844,-0.00237715
2025-08-29,0.04562638,0.04174001,0.04083098,0.04376815,0.04326811
2025-09-30,0.00350650,0.00301596,0.00295983,0.00312452,0.00319551
2025-10-31,0.01752442,0.01422630,0.01310024,0.01433754,0.01522842
2025-11-28,-0.00059716,-0.00049490,-0.00046510,-0.00050543,-0.00052780
2025-12-31,0.00132247,0.00110164,0.00123322,0.00135718,0.00123700
